d;userID;ISBN;bookRating
55832;86189;067168843X;5
23402;98547;006000925X;7
39620;31315;1574862170;8
6124;148744;068484477X;8
54276;77052;B0000AZW79;9
42919;36606;1570640114;10
49844;112093;1556703961;4
25775;13221;039304632X;7
13328;1096;1566197155;7
51389;63625;1591823897;8
12146;53042;068815252X;5
58346;98391;031226609X;9
37402;27812;1400041503;7
61026;108197;1566198216;10
57834;139991;039304050X;9
44063;38005;1888809027;6
34801;23768;1580630200;8
59512;99441;031242230X;10
61115;108763;1855857383;10
52187;68663;074346270X;3
50142;58363;1880909413;5
9062;150386;055356451X;8
63688;127137;1929001088;10
12616;120396;039914563X;7
22867;50204;1878424424;3
42065;147967;081257558X;9
7757;104636;034538184X;8
9905;51660;1559029838;8
65588;140358;067089477X;5
46854;127200;1569310920;8
59043;98391;1932100253;10
37576;84479;067165876X;9
52172;103009;1590522699;10
36481;26535;1551660946;5
24943;9906;051513306X;8
18128;95359;031242227X;9
58080;96385;155553046X;10
15806;4017;038072975X;8
37211;101209;067173976X;5
2297;23768;038548951X;8
29943;105979;006447030X;8
7260;44269;051513287X;9
9034;87712;055356451X;6
27575;28360;1591820642;9
25791;37556;068484897X;8
7152;85526;039592720X;10
63643;126814;076684871X;5
29359;15408;093755202X;7
8539;102967;044021145X;6
2872;132229;1400031354;7
33813;143876;037550852X;9
20200;6543;1570629137;5
47230;49933;1887166505;1
63955;127825;042509703X;8
45361;42162;1569319359;7
48562;53150;1550651382;8
7740;60168;034538184X;8
19759;140945;1573221937;8
52013;134797;031218008X;9
537;2106;081297106X;6
19110;70594;1400031362;9
27517;12824;1569310491;10
66335;147420;044676308X;8
46797;110973;034531199X;7
284;75529;055310666X;7
47780;135265;037322592X;5
55676;85526;1556709625;8
57697;100906;057560106X;8
5048;16795;1573221112;8
11654;128331;081296666X;7
34915;23872;067352390X;5
2464;100908;044011585X;6
12830;140372;055321313X;10
4952;37511;034540288X;10
6757;98391;1551666960;10
59449;98930;156397441X;8
24820;9709;1558172297;7
2855;101091;1400031354;10
27204;152099;059087764X;9
50681;143415;1555842100;10
18923;111938;055337933X;9
46973;48971;185326850X;10
55097;141902;1575662213;10
56033;87141;1565921232;5
28680;14422;157324175X;7
26017;147847;014006690X;9
730;148804;074320607X;10
47073;56321;1400034639;7
26872;21937;1573220167;8
44944;114368;155166786X;5
62687;118848;1593070543;8
19358;19760;034542705X;7
33391;21014;1558531564;6
49119;55490;1568654324;10
6007;51359;068484477X;7
28202;52614;055328990X;10
42910;62680;1564144992;7
5510;51883;1551667517;5
17591;81249;1573227331;9
19360;36614;034542705X;8
44184;38273;048629756X;10
64528;131121;1557488150;7
6197;94840;1551666839;9
59802;101209;1564408329;5
19468;48440;076790849X;8
14349;98391;084395051X;7
20443;93872;015670160X;5
2957;47316;1400034779;10
23938;115963;039913929X;7
1303;129494;039480029X;6
15317;110361;1400032717;7
11679;36606;080213825X;5
2985;74792;1400034779;7
14996;2766;1576737284;9
65701;141902;1887656650;10
30419;101505;006017613X;6
257;137849;043935806X;8
4134;95359;055323370X;5
7170;132425;039592720X;9
35567;25131;1568849443;8
66691;149907;1892295245;7
12302;18908;080411868X;10
6325;21484;059035342X;9
52841;121264;1400031834;3
34629;63956;067942895X;9
64637;132663;1568524420;7
41558;36836;031230174X;8
22566;77181;006056668X;7
22669;7915;1577485033;8
34072;22464;067154148X;9
27980;113519;1572240814;8
64452;130554;067988792X;6
33622;100846;1570641161;5
58943;98391;1880284545;9
47978;52044;1570716900;7
65323;138578;096247519X;10
4320;31846;067976402X;10
25306;10354;1586648624;7
23375;95250;1400060737;7
38995;36836;1853260231;10
34921;23872;080105396X;9
22950;82797;074342347X;6
56055;87141;1565923146;7
42885;56959;1561380229;10
33616;60319;157062187X;7
64703;133736;031023249X;6
25243;50007;1573222267;5
54144;76499;1563241722;10
579;135360;081297106X;9
6847;26598;014025448X;5
58539;98391;076530371X;9
59774;101209;055325247X;8
30257;16634;1853263281;8
36111;96440;3822893374;10
4337;40052;067976402X;6
32138;96521;043965548X;8
65595;140483;1414025696;10
2877;135703;1400031354;10
6681;116090;042518904X;8
51840;78880;067142517X;8
54752;79916;1567188257;8
7973;76151;037329090X;5
12398;28693;1558747028;10
63972;128008;1400031095;7
52320;95359;031210426X;7
65430;138883;1556615574;10
42514;36043;1557505942;9
3750;277563;044667883X;5
44625;39616;1892326094;10
51001;98391;1551667126;8
32242;19145;072253955X;10
1960;76547;1551668726;5
15424;3467;006099486X;8
50615;87129;037570521X;8
8603;133786;044021145X;9
10342;64241;1576737330;8
50207;93910;1400031192;6
23273;144691;1551665301;5
14204;75127;068483376X;9
31141;99312;1562920448;8
29871;16795;006621341X;6
4274;6577;067976402X;9
59414;98758;088882162X;7
18935;116005;1853260045;10
13900;69440;038082101X;9
27866;97281;037540709X;1
43112;36673;1413705847;10
63402;125203;2013219830;5
1661;27352;037541309X;10
38559;29974;051512883X;7
48592;55341;1557731918;8
31961;102359;1565070658;9
65218;137589;1560656964;8
57538;94347;068486441x;5
858;110382;080410946X;7
24802;108243;076530127X;6
16250;114368;1551667932;5
60018;101851;1861870043;9
54171;76499;203871682X;8
55596;85112;015600125X;8
55132;81933;067122168X;8
63606;126693;097066110X;7
57585;94347;1579890571;8
38397;98391;038080588X;9
61274;110110;1851682589;6
57791;94951;1569712158;9
65930;143211;1583220232;9
58469;98391;044101187X;10
12423;80105;1558747346;8
2884;142600;1400031354;10
15029;63452;1558744630;8
55093;81611;1577486498;10
45821;112148;1400030927;8
11267;62542;1551667894;10
45512;42780;067187750X;10
6944;127359;068815090X;5
40396;59705;067187120X;10
50303;142129;1558746374;5
12486;55490;038529929X;10
29530;15654;188886902X;8
34847;23768;1885222629;7
44078;38023;039921268X;1
4333;37400;067976402X;5
757;43619;067102423X;10
5227;31594;044651652X;5
8536;101901;044021145X;6
56747;90049;067973421X;6
48822;98391;1551666693;9
64971;135277;2864242222;9
36210;109779;078691811X;9
41190;54511;044022179X;9
63029;123094;007035359X;10
61591;111174;087605341X;9
50703;60244;1565545583;8
54692;79441;044178268X;5
27859;101614;1551668076;8
38010;118533;1579546463;8
56779;90358;1576832996;8
13083;969;068986020X;8
58088;96440;067974424X;2
8162;34748;042513525X;9
26763;11993;1551563452;10
13150;25930;038531258X;7
11648;59499;081296666X;3
29454;15425;1930928688;10
29491;127168;1400033543;9
47632;51450;1552041808;7
36847;122429;1853262102;7
33166;41586;076111937X;9
63337;124720;1576736016;8
4175;43391;042518336X;8
19689;96611;1557044791;7
12893;108855;038001503X;10
15904;78631;006098824X;8
46957;48753;041592913X;5
3211;277435;031215125X;8
56457;88288;067972026X;10
54381;78430;034542493X;5
57772;98391;1893896846;9
59435;98904;1564144852;8
49966;57052;1884980805;6
32286;19220;1560026936;5
296;276822;038076041X;10
1120;52631;1558743669;10
529;135736;074343627X;9
58318;113475;1563262509;5
33487;21072;1400051495;9
56844;91370;1854710621;9
31982;143175;038529932X;7
17422;78746;1566199697;8
25686;60983;1576739759;7
39792;31502;068484219X;7
50026;57234;1560251549;8
5109;11529;1558745157;7
183;69156;043935806X;8
15191;113279;051788206X;5
50575;60185;1883523095;9
60121;102642;068981688X;5
54176;76499;8401328276;5
64490;130923;068983134X;10
31609;123883;014034019X;5
18046;137136;034540761X;5
28164;60475;051511992X;8
37814;98391;082177381X;10
62661;118587;1560371889;7
8323;114368;042518630X;10
53936;76352;055319643X;5
17202;70649;1570613818;10
56025;87141;1564132617;7
63032;123094;055313843X;9
58957;98391;1889758280;10
18629;93355;1551667398;8
42936;60244;1573229547;8
28386;114368;1551660504;10
63683;127134;1896951007;7
8651;100044;044021422X;8
19123;110934;1400031362;9
44199;38273;076152651X;10
57640;94529;1568846193;10
65017;135768;1884956327;8
2311;113519;038548951X;9
10114;278418;1570423008;5
54563;78834;1579541186;10
3089;148121;1400034779;8
39622;31315;1581590199;10
52862;70415;002863196X;10
44183;38273;006105965X;10
34569;104636;038549422X;10
11613;134302;1573225126;8
34557;95316;038079005X;5
31382;92132;067187456X;10
18030;92278;034540761X;6
53156;71884;067102678X;10
59514;99441;059008562X;10
18464;152496;1558506462;9
66082;145003;1560255625;5
3405;62151;044022165X;7
60355;104257;039305814X;10
32499;78448;042506137X;8
14742;91838;080215185X;8
49520;111578;038080817X;8
54352;77810;1582700036;8
36739;145657;1551667223;7
33018;20201;1560765933;5
41967;152186;067100669X;9
66073;144899;042516733X;6
60914;107718;1575212706;5
61597;136252;1570362882;9
46587;47279;1572840323;5
4735;143968;1573220310;8
39919;102619;1588650227;10
33243;126604;1565123158;6
59968;101851;1565041143;8
14089;101796;1570960305;7
23620;56959;044022330X;10
46633;47316;1551668963;7
62349;115180;1576105555;5
35036;24027;051758283X;8
16908;114306;1573225517;9
55204;82407;1858286816;9
51781;66323;192935200X;6
22987;30273;1551669412;8
57179;93047;1558611703;7
28695;14422;1932100040;9
19562;129084;080411109X;9
15134;137497;1890159018;7
23373;85757;1400060737;9
20922;114988;1573227889;7
53585;74453;159058029X;7
55061;81511;1853260711;7
6941;92810;068815090X;8
542;8681;081297106X;10
12438;141729;1570717257;5
44109;102800;1400060494;9
55212;82549;1582293376;10
6017;60204;068484477X;2
25599;126487;034541215X;4
50533;60028;1889647462;6
29954;96063;038071129X;8
30696;61216;067101675X;9
26169;110483;044166251X;10
55992;87141;076151810X;7
55929;86784;1401075193;10
20531;73907;037570924X;7
18144;115328;031242227X;8
12853;86189;014016930X;8
1264;277203;039480001X;9
36812;63956;1566911494;6
34646;23768;068486861X;8
52605;69697;037380685X;8
20337;115003;1558746625;7
15122;2793;1559278374;8
33863;35859;044023476X;7
43826;121170;038533530X;7
4864;2033;051513628X;6
30812;16795;080078412X;6
10424;278545;1887166092;8
60103;102359;1886893004;10
66117;145449;1563520095;8
24088;63401;1575001438;10
23770;102359;067082982X;10
63589;126604;1560982519;8
33792;98391;042519390X;5
2737;35598;080411918X;5
62756;119749;1587288605;9
45600;85656;050552144X;8
16397;128543;1558743316;6
22301;7346;1575663929;6
61750;135082;1931514585;10
18819;32024;1551668483;9
47658;51450;1928998011;7
45206;41455;067166218x;7
7221;137588;1573221775;10
3587;60244;014038572X;6
50275;59115;1568650450;6
32069;18323;042514173X;7
34981;23872;1585980730;10
55782;85993;078388530X;8
37456;101141;067178546X;7
34012;98391;1551667037;8
33515;98391;038081790X;8
49279;102359;1566195438;10
13563;79923;034543076X;4
5908;14374;051511779X;6
19147;31556;044020352X;8
16099;40172;060980619X;5
33465;21031;051513113X;7
28893;125519;067169507X;10
40610;32773;067148852X;10
46282;112001;006008460X;10
66465;148199;1573927589;8
14183;2038;038072930X;8
42421;86488;1880418568;10
39650;76151;044100069X;10
42668;122284;1591290562;9
56141;87397;1586480359;9
41142;102705;1552782964;6
44095;38023;081121155X;8
10690;10030;155874262X;10
30536;88677;037351039X;5
50755;139857;1578565235;5
35806;43021;1564142493;10
57210;93047;156971634X;8
38443;60941;1877988189;9
17588;75149;1573227331;9
48816;70415;1561640913;9
4668;277923;091988802X;9
31019;67085;1551668513;5
56344;87901;080504891X;10
19064;6073;055321263X;4
2641;45557;080410753X;9
30389;30906;1853260789;8
2087;59595;006092988X;10
31223;46398;1576738574;4
5623;109899;044661162X;7
5331;115896;044651652X;8
31307;91119;038547508X;6
55927;86720;1840241128;7
47835;51883;093607731X;10
23500;70401;1551669234;10
33292;42914;042516246X;4
63835;130438;1580170382;9
13692;84201;006105660X;10
32690;19969;038548884X;7
13577;52130;037542217X;8
20099;26544;037570485X;9
59988;101851;1565046137;7
66950;152496;188364822X;8
13862;88677;1551666030;8
19258;6249;067188784X;9
65666;141511;1864503580;7
27691;106288;067084943X;8
49405;55641;096525660X;7
62251;114868;1901881741;10
65471;139182;2253154245;9
58471;98391;044652929X;9
59994;101851;1566867142;10
57362;93245;1559704942;7
48048;52199;082175291X;9
55485;83754;1556618417;8
56151;87540;1570719837;10
37277;114868;1880985055;1
1654;152243;044023722X;9
53537;74189;1591820723;10
24458;85616;044021680X;6
59775;107540;055325247X;9
65236;137953;038072846X;7
16095;6543;060980619X;7
12351;91832;080411868X;5
52821;70183;1400045967;10
35388;48494;1551660598;10
56273;87712;1561445770;10
18149;127049;031242227X;9
47929;51992;068484625X;9
4180;89602;042518336X;8
18457;57093;1558506462;7
12514;133935;038529929X;5
44440;106849;042510172X;10
6714;130543;1551660679;5
20469;71853;034536676X;9
58936;98391;1594142459;10
22278;124322;1573225312;8
38115;29101;1564312380;4
1695;10314;014023313X;5
48671;53229;157062917X;9
57804;94984;031215061X;6
37669;114544;068486424X;9
28415;14087;1562829254;10
46600;47279;2850186457;8
13694;1582;1569314195;10
61599;111190;037582412X;9
34452;148966;1551668866;3
41943;87712;059048320X;8
29884;20201;1560763396;10
65173;136676;1558684255;5
6954;4017;006093090X;10
29805;31235;1573229083;10
32178;115929;1551669587;9
56630;129074;088150047X;6
16731;98391;1590522265;9
40948;136829;067081458X;2
30673;16795;055358412X;9
50316;59172;1889853038;10
20631;134483;038572179X;6
48260;100846;068480042X;5
50361;59269;1562474847;10
54545;145449;1403326169;8
48494;52917;074560448X;5
16609;95359;1565122968;7
49304;144978;1590520386;5
9347;13552;067164257X;9
66438;148199;014046641X;7
63145;123883;044022697X;5
26789;11993;1556610866;9
26160;49553;044166251X;9
51702;65370;081255731X;8
4438;100294;067976402X;10
59599;100454;1555831370;8
34156;22625;2080106325;10
1972;277341;084230052X;9
12383;144531;080411868X;8
63452;125203;2268045757;9
42002;105979;068484611X;10
45457;141600;1897959206;9
20030;111495;1853260002;10
15485;35859;042518045X;8
30622;16795;044100119X;8
25723;22351;1561708755;5
24747;21022;1567187072;7
55257;93047;1555836437;7
17270;88872;038079487X;5
40395;54527;067187120X;5
39962;114988;140220096X;9
5768;115503;039914465X;7
38111;29101;1559949783;6
63053;123215;1557000263;5
29051;25934;1565123638;8
18635;136010;1551667398;6
55176;82123;1859672388;9
38823;122793;1551666596;8
12384;144828;080411868X;6
37796;28591;067100039X;9
39836;31556;045303005X;9
48945;94951;044100962X;8
17842;4303;034547063X;6
20651;51992;039914675X;7
14623;98535;1551668467;5
38165;37644;006440823X;8
52134;78834;038549694X;6
27418;14418;1401901484;8
23078;51759;159184021X;7
52668;98391;1551667118;10
59616;100519;1573241717;8
35292;24768;1559702680;7
16581;133159;1565121570;8
48797;54206;1401202020;9
63463;125235;1562291629;10
32712;20060;015668568X;10
43574;36907;1401300227;10
58706;98391;1575668297;10
607;23571;031286504X;10
34575;55777;038550408X;9
22777;125692;038547167X;9
59746;100906;2850365297;9
16240;3840;1551667533;10
57434;93364;080131755X;3
13764;81848;1593080743;9
15790;128060;067150987X;10
45963;43910;076790186X;7
3688;115754;1558744150;8
