;userID;ISBN;bookRating
30599;142524;042514898X;8
5660;278137;1556611536;9
6386;52199;059035342X;7
19950;135043;068480297X;10
4155;42099;014034893X;10
7588;96448;014034294X;10
22018;37644;034529873X;5
25334;10354;159182396X;7
17591;81249;1573227331;9
12297;13850;080411868X;9
23318;135149;1588720020;6
34445;112761;1551668866;10
31529;48355;067165604X;7
34534;74185;034540047X;10
5251;48579;044651652X;10
39763;147851;185326041X;6
19349;14422;031242258X;7
5865;102705;044022103X;8
51175;110912;055324504X;10
1871;138543;014029628X;8
36073;138995;1558532331;10
35171;24452;155874875X;8
31082;127190;1551668947;10
24077;8782;1571456988;10
15272;122867;140003065X;10
14094;3145;1573229326;5
20602;62862;038572179X;7
26856;98391;1576736563;8
1065;91113;055326611X;9
4271;6251;067976402X;8
8462;46671;044021145X;7
28809;80683;038000917X;10
18538;144899;037540256X;8
9182;99955;055357258X;7
24783;30972;051512558X;8
28198;13552;055328990X;7
2575;143415;067941388X;5
19747;106225;1573221937;5
12683;95359;038533334X;6
1805;21014;014029628X;8
25485;36609;037576092X;10
23382;136491;1400060737;10
13920;114544;038082101X;9
17179;60244;1400060052;8
12415;143964;1558747028;7
29511;67547;1587611198;10
2268;135376;031298328X;6
13085;54206;068986020X;8
27454;55490;1852305606;10
4407;86189;067976402X;5
15035;85367;1558744630;9
28056;123608;059048351X;6
39186;152409;068816711X;9
18116;78834;031242227X;7
10860;42914;1558747109;10
35534;139467;044023512X;7
6261;43481;044022425X;9
4221;112109;055357227X;9
40778;129716;1567186904;8
9401;37950;067172262X;10
24786;77480;051512558X;7
13846;1733;1551665794;7
9088;95359;055356773X;6
7221;137588;1573221775;10
34780;30487;1573221465;6
44799;119594;1551668017;6
1031;114544;042511774X;6
607;23571;031286504X;10
20924;142524;1573227889;8
542;8681;081297106X;10
5605;45315;044661162X;3
3052;122867;1400034779;10
16907;112953;1573225517;9
8445;37950;044021145X;6
12133;16795;067151699X;8
30501;16908;037322706X;5
19492;36907;080411109X;9
22014;7346;034529873X;8
41912;59172;055356532X;8
29537;15670;006447335X;9
40640;144241;067179566X;7
5305;101876;044651652X;8
35058;25981;038531695X;5
3043;113270;1400034779;8
18478;58855;1558746986;8
39362;83637;006103102X;7
23766;55438;067082982X;10
28038;76151;037541178X;5
39161;36907;1841952753;8
45820;110361;1400030927;10
18013;41455;034540761X;7
24426;77181;1878424483;5
13455;7286;089480829X;7
3758;6543;1400031346;6
45422;116005;055214262X;10
7849;126492;034538475X;7
17968;4385;1551667436;10
24136;136419;1592400876;7
24111;70594;1592400876;8
9604;131027;080410526X;7
10483;13973;014028009X;10
47674;56307;1551669552;7
11052;6575;006000438X;9
26182;35445;044990668X;7
19342;95250;015602943X;8
24873;93179;039308700X;8
12667;53392;038533334X;8
11518;93047;006101351X;8
17219;7125;038079487X;7
38823;122793;1551666596;8
15440;46398;006099486X;5
1496;69971;044023722X;3
52705;115751;1576737535;10
23030;8067;1573227161;10
29800;89602;1573220221;9
32632;143415;014200023X;5
56950;104636;068981321X;9
22279;126604;1573225312;9
30729;49212;067168390X;9
11437;28177;006101351X;9
28082;88733;006018311X;8
5032;138543;034540288X;7
32721;80954;015668568X;7
20929;43246;1573228737;8
4178;69378;042518336X;8
2433;125692;043936213X;10
27258;95359;084233226X;5
41488;35445;1840462507;6
16774;69697;1551665638;6
23552;54547;1557739404;7
11346;142524;1931081727;7
5977;30533;068484477X;8
27012;82497;1551669374;6
16322;137588;1551668998;9
9176;83109;055357258X;8
15812;36749;038072975X;3
36978;101851;055380202X;10
28185;123825;051511992X;7
33760;80810;1558742913;10
43883;101305;015601422X;7
46354;68555;1561483176;7
42847;134797;1551666537;6
37630;88733;061815082X;10
1869;136348;014029628X;8
6805;66680;1551669293;4
7109;148258;1878424319;7
17109;125217;015201800X;5
6200;104665;1551666839;10
44551;69697;074347628X;10
2253;107784;031298328X;5
32936;114368;037348397X;10
15114;109574;1401301061;10
39651;86189;044100069X;5
42000;53174;068484611X;10
45824;143497;1400030927;8
3395;56856;044022165X;10
18558;16795;042516876X;10
14958;94347;1566840287;5
23208;8245;055358264X;8
44895;40838;158234082X;8
10769;110373;155874262X;8
24879;45113;067102096X;8
8547;107244;044021145X;10
6999;278221;155661246X;9
34465;134797;1551669099;9
27265;143964;084233226X;9
23014;98391;1551669498;8
12185;85656;1557733856;8
15496;141493;042518045X;9
28562;62464;044021789X;9
33266;117251;1893329127;8
14820;36839;044048474X;7
2879;136348;1400031354;8
2557;32773;067940676X;8
9136;95359;055357230X;6
737;12538;067102423X;8
37607;85426;1560252480;10
295;145826;055310666X;9
17140;3827;038533303X;10
42598;82407;1561483516;7
32628;64946;014200023X;7
7585;76499;014034294X;10
4560;15049;1558744606;6
39048;110934;014011369X;8
10924;13850;1558531025;9
35960;33580;067100316X;8
12199;95359;193072229X;10
17200;67840;1570613818;10
18635;136010;1551667398;6
20668;39227;044990542X;10
15048;125519;1558744630;10
21151;52199;067942573X;10
7781;3827;034538475X;8
2836;64436;1400031354;7
1205;145369;1558743669;10
39821;150124;039483609X;10
33274;21659;037550219X;10
18704;85367;1558748040;4
15259;104144;140003065X;8
52893;92652;1559720646;5
53512;97874;1585421170;10
4652;5582;068482499X;10
17601;114452;1573227331;7
43025;76151;074324642X;10
2514;134483;067091021X;8
22971;20060;1551665204;7
20461;31393;034536676X;8
90;100846;038550120X;8
45176;69355;091581112X;8
23519;104144;1551669455;9
22807;127233;076790382X;10
35145;24215;097188191X;9
20927;21014;1573228737;8
30782;110912;068810312X;10
5175;129690;1558745157;10
24766;122429;044990945X;7
21121;87141;055357809X;9
20117;6543;039305747X;7
27239;12538;084233226X;10
19847;139359;188712876X;9
11927;145641;1573225789;10
24341;60263;044021985X;8
49009;55187;092927959X;10
814;128835;067102423X;9
10752;86932;155874262X;6
8747;38556;044661095X;5
5661;278221;1556611536;9
14210;99630;068483376X;10
19159;35836;038073186X;6
22933;8067;050552497X;9
14561;127200;034528643X;5
42597;68185;1561483516;8
8548;107784;044021145X;8
12174;91113;1400077826;10
2884;142600;1400031354;10
9056;137688;055356451X;8
51592;126492;1584855193;6
30768;140036;067974388X;8
50174;73588;067172052X;6
32060;18311;1891620088;7
6941;92810;068815090X;8
20890;21011;1573223425;7
3279;98686;042516098X;9
58029;98440;044155282X;10
2436;126395;043936213X;10
17370;69078;1573226521;7
11761;46398;068484267X;9
17964;112001;1551666014;10
30557;114368;038079456X;5
7184;52853;067988288X;8
1585;117873;044023722X;8
24999;87949;084232920X;10
13821;1733;1551664348;7
23551;23872;1557739404;5
2124;76499;006440188X;10
18693;110440;067100767X;6
11991;115692;042517736X;6
11760;45315;068484267X;7
8528;93179;044021145X;8
4244;70415;088396631X;10
7390;117132;155166898X;7
5788;26535;039914739X;5
14050;61901;1561707244;9
39647;52853;044100069X;8
20901;136139;1573223425;9
45956;88652;1573220426;9
46552;144619;1551664151;7
31065;24933;1551668947;8
1350;8066;044023722X;7
28386;114368;1551660504;10
32672;93047;038000321X;8
18277;45315;042516828X;8
24942;147965;1551668084;5
25766;123095;087113795X;10
15534;113519;044652087X;8
6262;44852;044022425X;6
34444;91113;1551668866;5
11296;55490;1563895730;10
9940;123981;1559029838;9
1357;11718;044023722X;8
23401;98391;006000925X;8
9909;55492;1559029838;7
9598;125692;080410526X;8
21474;12538;067100042X;7
18142;112001;031242227X;9
4955;39227;034540288X;7
31528;16966;067165604X;9
6720;26544;1551661586;8
19763;150661;1573221937;7
2153;35918;014100018X;8
4343;43246;067976402X;10
898;114988;080505622X;7
15329;2891;1561003913;4
21144;13552;067942573X;8
12225;43246;015600710X;9
1727;46398;014023313X;4
27203;125203;059087764X;7
12265;85757;193156146X;9
25389;99720;034540727X;8
11965;28634;042517736X;8
14084;93047;156402976X;9
46353;53174;1561483176;10
5111;21011;1558745157;7
16601;66680;1565122968;5
25881;43910;074341134X;8
6029;69078;068484477X;8
18935;116005;1853260045;10
30091;81597;039913039X;9
34230;95359;006093493X;9
20311;10447;1558746226;6
35151;48494;055314717X;5
15079;48579;1558746161;9
33758;21404;1558742913;6
30944;26544;1551666758;8
10475;5582;014028009X;10
34668;92652;078686351X;5
5892;138176;044022103X;10
21503;83287;067100042X;10
5549;53241;044900371X;9
16095;6543;060980619X;7
19458;73923;067973743X;8
3104;122429;1400060265;9
3510;140358;044022165X;5
50451;92810;067155302X;8
19075;138844;1573220531;7
8861;126693;051512608X;10
15267;117873;140003065X;10
17424;126149;1566199697;10
40938;49460;067081458X;8
12833;144531;055321313X;9
3585;59150;014038572X;8
20831;142861;1562827960;8
23018;119575;1551669498;8
10406;77860;1931561648;9
18322;36606;044651862X;8
243;123257;043935806X;10
8529;95932;044021145X;7
26090;66680;038531700X;6
11229;37644;059043893X;4
19459;76499;067973743X;10
23174;114544;037570910X;8
33392;29259;1558531564;10
26526;85993;1401900844;10
56899;105979;088001654X;10
37288;88677;037371081X;8
4636;116931;006019491X;8
20393;81368;015100692X;8
11932;152036;1573225789;10
34317;89507;1400050308;10
4932;3167;034540288X;7
19386;9908;042519485X;8
15333;150896;1561003913;7
14097;6242;1573229326;6
20469;71853;034536676X;9
1997;124487;051511605X;9
23344;21014;1400030382;8
18426;95359;067972883X;9
11211;68943;051510521X;6
29625;94347;1891830430;9
1264;277203;039480001X;9
19731;29526;1573221937;6
262;141511;043935806X;8
15224;31235;140003065X;8
17942;13552;155166531X;8
10344;67627;1576737330;8
13660;57398;1558532161;9
12759;19664;1573229385;6
12819;100906;055321313X;10
20559;6575;038549744X;9
12339;78783;080411868X;7
2967;58342;1400034779;10
25225;124310;1400060117;7
48109;131027;038071339X;9
24568;23872;051511054X;5
32204;114368;050552354X;5
47780;135265;037322592X;5
18365;100459;044651862X;9
52600;69697;037379102X;8
13289;60244;014131088X;9
4948;34300;034540288X;5
7637;147847;030711886X;5
13441;85757;031231616X;9
5603;37311;044661162X;5
16938;123883;068487217X;5
11937;23872;006017143X;10
7025;82497;051512298X;7
22047;49109;034539092X;8
8383;8253;044021145X;9
1582;114544;044023722X;7
4364;55927;067976402X;8
5664;68555;1556611536;8
11330;31609;1573226882;7
8410;21659;044021145X;10
4171;16106;042518336X;10
5429;92810;034543479X;8
45771;112881;1931543380;10
39342;70401;1551667908;10
6300;6563;059035342X;8
23797;87929;1559390476;7
9943;126736;1559029838;6
26348;69389;1551669153;9
28027;48975;1561451010;7
11175;94494;038542017X;7
10845;138578;1558745718;8
25524;133296;051513449X;10
13856;128122;1551665794;10
11993;119575;042517736X;8
19631;142121;1551520559;6
10904;29259;158062748X;9
1124;55493;1558743669;7
15772;6251;067150987X;10
15765;115003;067975833X;8
56968;125039;034525483X;10
28392;132173;1551660504;8
4183;23871;1551666022;9
54069;76499;006273024X;10
9399;37644;067172262X;10
36624;35836;055329802X;2
1658;6575;037541309X;9
4512;133747;067976402X;8
3756;277623;1400031346;8
16887;30052;1573225517;5
23154;30052;037570910X;7
18066;113270;039571091X;8
20412;135149;015100692X;5
5970;21356;068484477X;7
13246;100459;037570504X;8
18959;32773;044809505X;9
5131;55492;1558745157;9
5991;37712;068484477X;7
34141;22625;1878448900;9
36623;28594;055329802X;4
16260;112026;1551668394;8
9163;31245;055357258X;10
51132;112001;1565122054;10
13383;128835;038039586X;5
43156;138198;1853260169;8
5879;123825;044022103X;6
15200;48355;074325547X;7
31320;129716;1582971242;10
4278;8253;067976402X;10
13069;88187;067102535X;7
12836;148744;055321313X;7
4227;123981;055357227X;9
10615;117594;1882723007;9
33317;42323;045120915X;8
25345;10354;159182415X;8
4018;104636;051510566X;9
20200;6543;1570629137;5
29914;88677;155166674X;8
20651;51992;039914675X;7
2558;37974;067940676X;10
21428;58964;006053429X;7
35066;114368;038531695X;5
8587;126492;044021145X;8
43897;37712;067972866X;8
52877;70415;1573241962;10
3691;125171;1558744150;7
3145;9908;1565075722;8
19756;134483;1573221937;7
10867;76351;1558747109;10
35404;115929;1551665247;9
22541;98263;1582343047;7
31532;110483;067165604X;8
186;69697;043935806X;10
40146;31826;1562926160;10
19438;16996;067944999X;8
46193;125203;2070360024;9
24503;9227;1591820073;7
13575;31846;037542217X;9
11733;6575;068484267X;9
22458;129716;055321246X;9
7685;67627;031298250X;9
9771;98391;1551668270;9
17728;74691;1880656124;8
9302;148744;059050214X;8
1909;69078;038550926X;6
25337;139524;159182396X;7
14823;45557;044048474X;9
23071;146113;1575667223;8
6184;35836;1551666839;4
41547;104636;006108199X;6
49663;127233;1885171277;6
27298;94923;1401088945;5
18647;46145;1888054557;10
7795;34588;034538475X;8
18633;123460;1551667398;7
4885;72214;051513628X;7
16105;59656;060980619X;10
32820;20115;073700049X;8
194;78553;043935806X;10
40777;78553;1567186904;10
15882;3363;006098824X;10
41724;48355;009925672X;9
13312;152562;014131088X;10
1194;135265;1558743669;8
11273;139913;1551667894;10
2560;124363;067940676X;10
18155;139359;031242227X;9
24117;93426;1592400876;8
37275;27472;1880985055;1
4849;123883;051512317X;5
26964;152186;006009527X;9
6078;115003;068484477X;9
16799;55892;039914613X;8
1976;104429;084230052X;10
38888;52584;1569472025;5
7052;46398;1878424319;6
22226;35859;067174142X;7
7045;36907;1878424319;10
6220;89602;1573220280;5
13978;110934;080410882X;9
18113;75591;031242227X;9
3472;117111;044022165X;7
30633;115692;044651974X;9
34096;22521;1401351964;9
6265;53174;044022425X;9
2684;104113;080410753X;8
3080;141710;1400034779;8
14018;55187;006251279X;8
32725;132836;015668568X;10
25453;81492;157322930X;5
25424;93047;080411188X;7
18214;95991;038070613X;8
29050;21576;1565123638;6
2027;52584;002542730X;10
2680;97694;080410753X;7
23510;8936;1551669455;10
206;88733;043935806X;8
10936;53392;1558531025;9
32197;19085;050552354X;7
